name,date_utc,year,month,flight_number,rocket_name,launch_site,pad_lat,pad_lon,pad_locality,payload_mass_kg,orbit,customers_count,num_payloads,landing_success,landing_type
Iridium NEXT Mission 5,2018-03-30T14:13:51.000Z,2018,3,58,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,9600.0,PO,1,1,,
CRS-14,2018-04-02T20:30:41.000Z,2018,4,59,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,2760.0,ISS,1,1,,
TESS,2018-04-18T22:51:00.000Z,2018,4,60,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,350.0,HEO,1,1,True,ASDS
Bangabandhu-1,2018-05-11T20:14:00.000Z,2018,5,61,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,3750.0,GTO,1,1,True,ASDS
Iridium NEXT Mission 6,2018-05-22T19:47:58.000Z,2018,5,62,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,5460.0,PO,3,2,,
SES-12,2018-06-04T04:45:00.000Z,2018,6,63,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,5383.85,GTO,1,1,,
CRS-15,2018-06-29T09:42:00.000Z,2018,6,64,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,2410.0,ISS,1,1,,
Telstar 19V,2018-07-22T05:50:00.000Z,2018,7,65,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,7076.0,GTO,1,1,True,ASDS
Iridium NEXT Mission 7,2018-07-25T11:39:26.000Z,2018,7,66,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,9600.0,PO,1,1,True,ASDS
Merah Putih,2018-08-07T05:18:00.000Z,2018,8,67,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,5800.0,GTO,1,1,True,ASDS
Telstar 18V,2018-09-10T04:45:00.000Z,2018,9,68,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,7060.0,GTO,1,1,True,ASDS
SAOCOM 1A,2018-10-08T02:22:00.000Z,2018,10,69,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,2800.0,SSO,1,1,True,RTLS
Es’hail 2,2018-11-15T20:46:00.000Z,2018,11,70,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,3000.0,GTO,1,1,True,ASDS
SSO-A,2018-12-03T18:34:00.000Z,2018,12,71,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,4000.0,SSO,1,1,True,ASDS
CRS-16,2018-12-05T18:16:00.000Z,2018,12,72,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,2573.0,ISS,1,1,False,RTLS
GPS III SV01,2018-12-23T13:51:00.000Z,2018,12,73,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,4400.0,MEO,1,1,,
Iridium NEXT Mission 8,2019-01-11T15:31:00.000Z,2019,1,74,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,9600.0,PO,1,1,True,ASDS
Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22T01:45:00.000Z,2019,2,75,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,5645.0,GTO,3,3,True,ASDS
CCtCap Demo Mission 1,2019-03-02T07:45:00.000Z,2019,3,76,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,12259.0,ISS,1,1,True,ASDS
ArabSat 6A,2019-04-11T22:35:00.000Z,2019,4,77,Falcon Heavy,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,6000.0,GTO,1,1,True,ASDS
CRS-17,2019-05-04T06:48:00.000Z,2019,5,78,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,2482.0,ISS,1,1,True,ASDS
Starlink v0.9,2019-05-24T02:30:00.000Z,2019,5,79,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,13200.0,VLEO,1,1,True,ASDS
RADARSAT Constellation,2019-06-12T14:17:00.000Z,2019,6,80,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,1425.0,SSO,1,1,True,RTLS
STP-2,2019-06-25T03:30:00.000Z,2019,6,81,Falcon Heavy,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,2838.0,MEO,16,16,False,ASDS
CRS-18,2019-07-25T22:01:00.000Z,2019,7,82,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,2227.7,ISS,1,1,True,RTLS
Amos-17,2019-08-06T22:52:00.000Z,2019,8,83,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,6500.0,GTO,1,1,,
Starlink-1,2019-11-11T14:56:00.000Z,2019,11,84,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
CRS-19,2019-12-05T17:29:23.000Z,2019,12,85,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,5000.0,ISS,1,1,True,ASDS
JCSat 18 / Kacific 1,2019-12-17T00:10:00.000Z,2019,12,86,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,6800.0,GTO,2,1,True,ASDS
Starlink-2,2020-01-07T02:19:00.000Z,2020,1,87,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Crew Dragon In Flight Abort Test,2020-01-19T14:00:00.000Z,2020,1,88,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,SO,1,1,,
Starlink-3,2020-01-29T14:06:00.000Z,2020,1,89,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Starlink-4,2020-02-17T15:05:55.000Z,2020,2,90,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,False,ASDS
CRS-20,2020-03-07T04:50:31.000Z,2020,3,91,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,1977.0,ISS,1,1,True,RTLS
Starlink-5,2020-03-18T12:16:00.000Z,2020,3,92,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,15600.0,VLEO,1,1,False,ASDS
Starlink-6,2020-04-22T19:30:00.000Z,2020,4,93,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
CCtCap Demo Mission 2,2020-05-30T19:22:00.000Z,2020,5,94,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,9525.0,ISS,1,1,True,ASDS
Starlink-7,2020-06-04T01:25:00.000Z,2020,6,95,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Starlink-8 & SkySat 16-18,2020-06-13T09:21:00.000Z,2020,6,96,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
GPS III SV03 (Columbus),2020-06-30T19:55:00.000Z,2020,6,97,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,3880.0,MEO,1,1,True,ASDS
ANASIS-II,2020-07-20T21:30:00.000Z,2020,7,98,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,GEO,1,1,True,ASDS
Starlink-9 (v1.0) & BlackSky Global 5-6,2020-08-07T05:12:00.000Z,2020,8,99,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,15712.0,VLEO,2,2,True,ASDS
Starlink-10 (v1.0) & SkySat 19-21,2020-08-18T14:31:00.000Z,2020,8,100,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020-08-30T23:18:00.000Z,2020,8,101,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,1600.0,SSO,1,1,True,RTLS
Starlink-11 (v1.0),2020-09-03T12:46:00.000Z,2020,9,102,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Starlink-12 (v1.0),2020-10-06T11:29:00.000Z,2020,10,103,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Starlink-13 (v1.0),2020-10-18T12:25:00.000Z,2020,10,104,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Starlink-14 (v1.0),2020-10-24T15:31:00.000Z,2020,10,105,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
GPS III SV04 (Sacagawea),2020-11-05T23:24:00.000Z,2020,11,106,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,3681.0,MEO,1,1,True,ASDS
Crew-1,2020-11-16T00:27:00.000Z,2020,11,107,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,ISS,1,1,True,ASDS
Sentinel-6 Michael Freilich,2020-11-21T17:17:00.000Z,2020,11,108,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,1440.0,PO,1,1,True,RTLS
Starlink-15 (v1.0),2020-11-25T02:13:00.000Z,2020,11,109,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
CRS-21,2020-12-06T16:17:00.000Z,2020,12,110,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,2972.0,ISS,1,1,True,ASDS
SXM-7,2020-12-13T17:30:00.000Z,2020,12,111,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,7000.0,GTO,1,1,True,ASDS
NROL-108,2020-12-19T14:00:00.000Z,2020,12,112,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,,1,1,True,RTLS
Turksat 5A,2021-01-08T02:15:00.000Z,2021,1,113,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,3500.0,GTO,1,1,True,ASDS
Starlink-16 (v1.0),2021-01-20T13:02:00.000Z,2021,1,114,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Transporter-1,2021-01-24T15:00:00.000Z,2021,1,115,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,SSO,0,1,True,ASDS
Starlink-18 (v1.0),2021-02-04T06:19:00.000Z,2021,2,116,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Starlink-19 (v1.0),2021-02-16T03:59:00.000Z,2021,2,117,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,False,ASDS
Starlink-17 (v1.0),2021-03-04T08:24:00.000Z,2021,3,118,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Starlink-20 (v1.0),2021-03-11T08:13:00.000Z,2021,3,119,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Starlink-21 (v1.0),2021-03-14T10:01:00.000Z,2021,3,120,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Starlink-22 (v1.0),2021-03-24T08:28:00.000Z,2021,3,121,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Starlink-23 (v1.0),2021-04-07T16:34:00.000Z,2021,4,122,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Crew-2,2021-04-23T09:49:00.000Z,2021,4,123,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,ISS,1,1,True,ASDS
Starlink-24 (v1.0),2021-04-29T03:44:00.000Z,2021,4,124,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Starlink-25 (v1.0),2021-05-04T19:01:00.000Z,2021,5,125,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
Starlink-27 (v1.0),2021-05-09T06:42:00.000Z,2021,5,126,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,15600.0,VLEO,1,1,True,ASDS
